source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,decode_ext,decode_magic,decode_error_code,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
fasseg,fasseg,fasseg_eval,4dd2dc39a9fad745a230,true,,,,,,,,200,degraded,7,204,0,0.055,,0.009,0,0.331,,,,,,,false,false,true,true,0.331,,,
fasseg,fasseg,fasseg_eval,399d6842b7a5060e5ed7,true,,,,,,,,200,degraded,7,204,0,0.028,,0.007,0,0.016,,,,,,,false,false,true,true,0.016,,,
fasseg,fasseg,fasseg_eval,f0d834de9bc444f0869b,true,,,,,,,,200,fail,7,2172,0,0.253,,0.002,0.349,0.908,,,,,,,false,false,true,true,0.908,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,e2af829798856b000a9e,true,,,,,,,,200,fail,7,2172,0,0.094,,0.011,0.439,0.041,,,,,,,false,false,true,true,0.439,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,c1a7e75141abaa308846,true,,,,,,,,200,degraded,7,204,0,0.039,,0.009,0.098,0,,,,,,,false,false,true,true,0.098,,,
fasseg,fasseg,fasseg_eval,c64cd7c2e7fde63c7158,true,,,,,,,,200,degraded,7,204,0,0.026,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,e0b73a3da1f202eb588e,true,,,,,,,,200,degraded,7,204,0,0.014,,0.006,0,0.006,,,,,,,false,false,true,true,0.006,,,
fasseg,fasseg,fasseg_eval,031693089eaebcb1a548,true,,,,,,,,200,degraded,7,204,0,0.023,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,9c2d805230aea852046a,true,,,,,,,,200,degraded,7,204,0,0.018,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,aa0c28cd45b36ec6b1e1,true,,,,,,,,200,degraded,7,204,0,0.156,,0,0,1,,,,,,,false,false,true,true,1,,,
